UPC11,Material description
73390591993,OAS ASTIG 8.6 -8.00 -0.75/110 6P RX
73390591994,OAS ASTIG 8.6 -8.00 -0.75/120 6P RX
73390591995,OAS ASTIG 8.6 -8.00 -0.75/130 6P RX
73390591996,OAS ASTIG 8.6 -8.00 -0.75/140 6P RX
73390591997,OAS ASTIG 8.6 -8.00 -0.75/150 6P RX
73390591998,OAS ASTIG 8.6 -8.00 -0.75/160 6P RX
73390591999,OAS ASTIG 8.6 -8.00 -0.75/170 6P RX
73390592000,OAS ASTIG 8.6 -8.00 -0.75/180 6P RX
73390592001,OAS ASTIG 8.6 -8.50 -0.75/10 6P RX
73390592002,OAS ASTIG 8.6 -8.50 -0.75/20 6P RX
73390592003,OAS ASTIG 8.6 -8.50 -0.75/30 6P RX
73390592004,OAS ASTIG 8.6 -8.50 -0.75/40 6P RX
73390592005,OAS ASTIG 8.6 -8.50 -0.75/50 6P RX
73390592006,OAS ASTIG 8.6 -8.50 -0.75/60 6P RX
73390592007,OAS ASTIG 8.6 -8.50 -0.75/70 6P RX
73390592008,OAS ASTIG 8.6 -8.50 -0.75/80 6P RX
73390592009,OAS ASTIG 8.6 -8.50 -0.75/90 6P RX
73390592010,OAS ASTIG 8.6 -8.50 -0.75/100 6P RX
73390592011,OAS ASTIG 8.6 -8.50 -0.75/110 6P RX
73390592012,OAS ASTIG 8.6 -8.50 -0.75/120 6P RX
73390592013,OAS ASTIG 8.6 -8.50 -0.75/130 6P RX
73390592014,OAS ASTIG 8.6 -8.50 -0.75/140 6P RX
73390592015,OAS ASTIG 8.6 -8.50 -0.75/150 6P RX
73390592016,OAS ASTIG 8.6 -8.50 -0.75/160 6P RX
73390592017,OAS ASTIG 8.6 -8.50 -0.75/170 6P RX
73390592018,OAS ASTIG 8.6 -8.50 -0.75/180 6P RX
73390592019,OAS ASTIG 8.6 -9.00 -0.75/10 6P RX
73390592020,OAS ASTIG 8.6 -9.00 -0.75/20 6P RX
73390592021,OAS ASTIG 8.6 -9.00 -0.75/30 6P RX
73390592022,OAS ASTIG 8.6 -9.00 -0.75/40 6P RX
73390592023,OAS ASTIG 8.6 -9.00 -0.75/50 6P RX
73390592024,OAS ASTIG 8.6 -9.00 -0.75/60 6P RX
73390592025,OAS ASTIG 8.6 -9.00 -0.75/70 6P RX
73390592026,OAS ASTIG 8.6 -9.00 -0.75/80 6P RX
73390592027,OAS ASTIG 8.6 -9.00 -0.75/90 6P RX
73390592028,OAS ASTIG 8.6 -9.00 -0.75/100 6P RX
73390592029,OAS ASTIG 8.6 -9.00 -0.75/110 6P RX
73390592030,OAS ASTIG 8.6 -9.00 -0.75/120 6P RX
73390592031,OAS ASTIG 8.6 -9.00 -0.75/130 6P RX
73390592032,OAS ASTIG 8.6 -9.00 -0.75/140 6P RX
73390592033,OAS ASTIG 8.6 -9.00 -0.75/150 6P RX
73390592034,OAS ASTIG 8.6 -9.00 -0.75/160 6P RX
73390592035,OAS ASTIG 8.6 -9.00 -0.75/170 6P RX
73390592036,OAS ASTIG 8.6 -9.00 -0.75/180 6P RX
73390592037,OAS ASTIG 8.6 -6.50 -1.25/30 6P RX
73390592038,OAS ASTIG 8.6 -6.50 -1.25/40 6P RX
73390592039,OAS ASTIG 8.6 -6.50 -1.25/50 6P RX
73390592040,OAS ASTIG 8.6 -6.50 -1.25/60 6P RX
73390592041,OAS ASTIG 8.6 -6.50 -1.25/120 6P RX
73390592042,OAS ASTIG 8.6 -6.50 -1.25/130 6P RX
73390592043,OAS ASTIG 8.6 -6.50 -1.25/140 6P RX
73390592044,OAS ASTIG 8.6 -6.50 -1.25/150 6P RX
73390592045,OAS ASTIG 8.6 -7.00 -1.25/30 6P RX
73390592046,OAS ASTIG 8.6 -7.00 -1.25/40 6P RX
73390592047,OAS ASTIG 8.6 -7.00 -1.25/50 6P RX
73390592048,OAS ASTIG 8.6 -7.00 -1.25/60 6P RX
73390592049,OAS ASTIG 8.6 -7.00 -1.25/120 6P RX
73390592050,OAS ASTIG 8.6 -7.00 -1.25/130 6P RX
73390592051,OAS ASTIG 8.6 -7.00 -1.25/140 6P RX
73390592052,OAS ASTIG 8.6 -7.00 -1.25/150 6P RX
73390592053,OAS ASTIG 8.6 -7.50 -1.25/30 6P RX
73390592054,OAS ASTIG 8.6 -7.50 -1.25/40 6P RX
73390592055,OAS ASTIG 8.6 -7.50 -1.25/50 6P RX
73390592056,OAS ASTIG 8.6 -7.50 -1.25/60 6P RX
73390592057,OAS ASTIG 8.6 -7.50 -1.25/120 6P RX
73390592058,OAS ASTIG 8.6 -7.50 -1.25/130 6P RX
73390592059,OAS ASTIG 8.6 -7.50 -1.25/140 6P RX
73390592060,OAS ASTIG 8.6 -7.50 -1.25/150 6P RX
73390592061,OAS ASTIG 8.6 -8.00 -1.25/30 6P RX
73390592062,OAS ASTIG 8.6 -8.00 -1.25/40 6P RX
73390592063,OAS ASTIG 8.6 -8.00 -1.25/50 6P RX
73390592064,OAS ASTIG 8.6 -8.00 -1.25/60 6P RX
73390592065,OAS ASTIG 8.6 -8.00 -1.25/120 6P RX
73390592066,OAS ASTIG 8.6 -8.00 -1.25/130 6P RX
73390592067,OAS ASTIG 8.6 -8.00 -1.25/140 6P RX
73390592068,OAS ASTIG 8.6 -8.00 -1.25/150 6P RX
73390592069,OAS ASTIG 8.6 -8.50 -1.25/30 6P RX
73390592070,OAS ASTIG 8.6 -8.50 -1.25/40 6P RX
73390592071,OAS ASTIG 8.6 -8.50 -1.25/50 6P RX
73390592072,OAS ASTIG 8.6 -8.50 -1.25/60 6P RX
73390592073,OAS ASTIG 8.6 -8.50 -1.25/120 6P RX
73390592074,OAS ASTIG 8.6 -8.50 -1.25/130 6P RX
73390592075,OAS ASTIG 8.6 -8.50 -1.25/140 6P RX
73390592076,OAS ASTIG 8.6 -8.50 -1.25/150 6P RX
73390592077,OAS ASTIG 8.6 -9.00 -1.25/30 6P RX
73390592078,OAS ASTIG 8.6 -9.00 -1.25/40 6P RX
73390592079,OAS ASTIG 8.6 -9.00 -1.25/50 6P RX
73390592080,OAS ASTIG 8.6 -9.00 -1.25/60 6P RX
73390592081,OAS ASTIG 8.6 -9.00 -1.25/120 6P RX
73390592082,OAS ASTIG 8.6 -9.00 -1.25/130 6P RX
73390592083,OAS ASTIG 8.6 -9.00 -1.25/140 6P RX
73390592084,OAS ASTIG 8.6 -9.00 -1.25/150 6P RX
73390592085,OAS ASTIG 8.6 -6.50 -1.75/30 6P RX
73390592086,OAS ASTIG 8.6 -6.50 -1.75/40 6P RX
73390592087,OAS ASTIG 8.6 -6.50 -1.75/50 6P RX
73390592088,OAS ASTIG 8.6 -6.50 -1.75/60 6P RX
73390592089,OAS ASTIG 8.6 -6.50 -1.75/120 6P RX
73390592090,OAS ASTIG 8.6 -6.50 -1.75/130 6P RX
73390592091,OAS ASTIG 8.6 -6.50 -1.75/140 6P RX
73390592092,OAS ASTIG 8.6 -6.50 -1.75/150 6P RX
73390592093,OAS ASTIG 8.6 -7.00 -1.75/30 6P RX
73390592094,OAS ASTIG 8.6 -7.00 -1.75/40 6P RX
73390592095,OAS ASTIG 8.6 -7.00 -1.75/50 6P RX
73390592096,OAS ASTIG 8.6 -7.00 -1.75/60 6P RX
73390592097,OAS ASTIG 8.6 -7.00 -1.75/120 6P RX
73390592098,OAS ASTIG 8.6 -7.00 -1.75/130 6P RX
73390592099,OAS ASTIG 8.6 -7.00 -1.75/140 6P RX
73390592100,OAS ASTIG 8.6 -7.00 -1.75/150 6P RX
73390592101,OAS ASTIG 8.6 -7.50 -1.75/30 6P RX
73390592102,OAS ASTIG 8.6 -7.50 -1.75/40 6P RX
73390592103,OAS ASTIG 8.6 -7.50 -1.75/50 6P RX
73390592104,OAS ASTIG 8.6 -7.50 -1.75/60 6P RX
73390592105,OAS ASTIG 8.6 -7.50 -1.75/120 6P RX
73390592106,OAS ASTIG 8.6 -7.50 -1.75/130 6P RX
73390592107,OAS ASTIG 8.6 -7.50 -1.75/140 6P RX
73390592108,OAS ASTIG 8.6 -7.50 -1.75/150 6P RX
73390592109,OAS ASTIG 8.6 -8.00 -1.75/30 6P RX
73390592110,OAS ASTIG 8.6 -8.00 -1.75/40 6P RX
73390592111,OAS ASTIG 8.6 -8.00 -1.75/50 6P RX
73390592112,OAS ASTIG 8.6 -8.00 -1.75/60 6P RX
73390592113,OAS ASTIG 8.6 -8.00 -1.75/120 6P RX
73390592114,OAS ASTIG 8.6 -8.00 -1.75/130 6P RX
73390592115,OAS ASTIG 8.6 -8.00 -1.75/140 6P RX
73390592116,OAS ASTIG 8.6 -8.00 -1.75/150 6P RX
73390592117,OAS ASTIG 8.6 -8.50 -1.75/30 6P RX
73390592118,OAS ASTIG 8.6 -8.50 -1.75/40 6P RX
73390592119,OAS ASTIG 8.6 -8.50 -1.75/50 6P RX
73390592120,OAS ASTIG 8.6 -8.50 -1.75/60 6P RX
73390592121,OAS ASTIG 8.6 -8.50 -1.75/120 6P RX
73390592122,OAS ASTIG 8.6 -8.50 -1.75/130 6P RX
73390592123,OAS ASTIG 8.6 -8.50 -1.75/140 6P RX
73390592124,OAS ASTIG 8.6 -8.50 -1.75/150 6P RX
73390592125,OAS ASTIG 8.6 -9.00 -1.75/30 6P RX
73390592126,OAS ASTIG 8.6 -9.00 -1.75/40 6P RX
73390592127,OAS ASTIG 8.6 -9.00 -1.75/50 6P RX
73390592128,OAS ASTIG 8.6 -9.00 -1.75/60 6P RX
73390592129,OAS ASTIG 8.6 -9.00 -1.75/120 6P RX
73390592130,OAS ASTIG 8.6 -9.00 -1.75/130 6P RX
73390592131,OAS ASTIG 8.6 -9.00 -1.75/140 6P RX
73390592132,OAS ASTIG 8.6 -9.00 -1.75/150 6P RX
73390592133,OAS ASTIG 8.6 +0.25 -2.25/10 6P RX
73390592134,OAS ASTIG 8.6 +0.25 -2.25/20 6P RX
73390592135,OAS ASTIG 8.6 +0.25 -2.25/90 6P RX
73390592136,OAS ASTIG 8.6 +0.25 -2.25/160 6P RX
73390592137,OAS ASTIG 8.6 +0.25 -2.25/170 6P RX
73390592138,OAS ASTIG 8.6 +0.25 -2.25/180 6P RX
73390592139,OAS ASTIG 8.6 +0.50 -2.25/10 6P RX
73390592140,OAS ASTIG 8.6 +0.50 -2.25/20 6P RX
73390592141,OAS ASTIG 8.6 +0.50 -2.25/90 6P RX
73390592142,OAS ASTIG 8.6 +0.50 -2.25/160 6P RX
73390592143,OAS ASTIG 8.6 +0.50 -2.25/170 6P RX
73390592144,OAS ASTIG 8.6 +0.50 -2.25/180 6P RX
73390592145,OAS ASTIG 8.6 +0.75 -2.25/10 6P RX
73390592146,OAS ASTIG 8.6 +0.75 -2.25/20 6P RX
73390592147,OAS ASTIG 8.6 +0.75 -2.25/90 6P RX
73390592148,OAS ASTIG 8.6 +0.75 -2.25/160 6P RX
73390592149,OAS ASTIG 8.6 +0.75 -2.25/170 6P RX
73390592150,OAS ASTIG 8.6 +0.75 -2.25/180 6P RX
73390592151,OAS ASTIG 8.6 +1.00 -2.25/10 6P RX
73390592152,OAS ASTIG 8.6 +1.00 -2.25/20 6P RX
73390592153,OAS ASTIG 8.6 +1.00 -2.25/90 6P RX
73390592154,OAS ASTIG 8.6 +1.00 -2.25/160 6P RX
73390592155,OAS ASTIG 8.6 +1.00 -2.25/170 6P RX
73390592156,OAS ASTIG 8.6 +1.00 -2.25/180 6P RX
73390592157,OAS ASTIG 8.6 +1.25 -2.25/10 6P RX
73390592158,OAS ASTIG 8.6 +1.25 -2.25/20 6P RX
73390592159,OAS ASTIG 8.6 +1.25 -2.25/90 6P RX
73390592160,OAS ASTIG 8.6 +1.25 -2.25/160 6P RX
73390592161,OAS ASTIG 8.6 +1.25 -2.25/170 6P RX
73390592162,OAS ASTIG 8.6 +1.25 -2.25/180 6P RX
73390592163,OAS ASTIG 8.6 +1.50 -2.25/10 6P RX
73390592164,OAS ASTIG 8.6 +1.50 -2.25/20 6P RX
73390592165,OAS ASTIG 8.6 +1.50 -2.25/90 6P RX
73390592166,OAS ASTIG 8.6 +1.50 -2.25/160 6P RX
73390592167,OAS ASTIG 8.6 +1.50 -2.25/170 6P RX
73390592168,OAS ASTIG 8.6 +1.50 -2.25/180 6P RX
73390592169,OAS ASTIG 8.6 +1.75 -2.25/10 6P RX
73390592170,OAS ASTIG 8.6 +1.75 -2.25/20 6P RX
73390592171,OAS ASTIG 8.6 +1.75 -2.25/90 6P RX
73390592172,OAS ASTIG 8.6 +1.75 -2.25/160 6P RX
73390592173,OAS ASTIG 8.6 +1.75 -2.25/170 6P RX
73390592174,OAS ASTIG 8.6 +1.75 -2.25/180 6P RX
73390592175,OAS ASTIG 8.6 +2.00 -2.25/10 6P RX
73390592176,OAS ASTIG 8.6 +2.00 -2.25/20 6P RX
73390592177,OAS ASTIG 8.6 +2.00 -2.25/90 6P RX
73390592178,OAS ASTIG 8.6 +2.00 -2.25/160 6P RX
73390592179,OAS ASTIG 8.6 +2.00 -2.25/170 6P RX
73390592180,OAS ASTIG 8.6 +2.00 -2.25/180 6P RX
73390592181,OAS ASTIG 8.6 +2.25 -2.25/10 6P RX
73390592182,OAS ASTIG 8.6 +2.25 -2.25/20 6P RX
73390592183,OAS ASTIG 8.6 +2.25 -2.25/90 6P RX
73390592184,OAS ASTIG 8.6 +2.25 -2.25/160 6P RX
73390592185,OAS ASTIG 8.6 +2.25 -2.25/170 6P RX
73390592186,OAS ASTIG 8.6 +2.25 -2.25/180 6P RX
73390592187,OAS ASTIG 8.6 +2.50 -2.25/10 6P RX
73390592188,OAS ASTIG 8.6 +2.50 -2.25/20 6P RX
73390592189,OAS ASTIG 8.6 +2.50 -2.25/90 6P RX
73390592190,OAS ASTIG 8.6 +2.50 -2.25/160 6P RX
73390592191,OAS ASTIG 8.6 +2.50 -2.25/170 6P RX
73390592192,OAS ASTIG 8.6 +2.50 -2.25/180 6P RX
73390592193,OAS ASTIG 8.6 +2.75 -2.25/10 6P RX
73390592194,OAS ASTIG 8.6 +2.75 -2.25/20 6P RX
73390592195,OAS ASTIG 8.6 +2.75 -2.25/90 6P RX
73390592196,OAS ASTIG 8.6 +2.75 -2.25/160 6P RX
73390592197,OAS ASTIG 8.6 +2.75 -2.25/170 6P RX
73390592198,OAS ASTIG 8.6 +2.75 -2.25/180 6P RX
73390592199,OAS ASTIG 8.6 +3.00 -2.25/10 6P RX
73390592200,OAS ASTIG 8.6 +3.00 -2.25/20 6P RX
73390592201,OAS ASTIG 8.6 +3.00 -2.25/90 6P RX
73390592202,OAS ASTIG 8.6 +3.00 -2.25/160 6P RX
73390592203,OAS ASTIG 8.6 +3.00 -2.25/170 6P RX
73390592204,OAS ASTIG 8.6 +3.00 -2.25/180 6P RX
73390592205,OAS ASTIG 8.6 +3.25 -2.25/10 6P RX
73390592206,OAS ASTIG 8.6 +3.25 -2.25/20 6P RX
73390592207,OAS ASTIG 8.6 +3.25 -2.25/90 6P RX
73390592208,OAS ASTIG 8.6 +3.25 -2.25/160 6P RX
73390592209,OAS ASTIG 8.6 +3.25 -2.25/170 6P RX
73390592210,OAS ASTIG 8.6 +3.25 -2.25/180 6P RX
73390592211,OAS ASTIG 8.6 +3.50 -2.25/10 6P RX
73390592212,OAS ASTIG 8.6 +3.50 -2.25/20 6P RX
73390592213,OAS ASTIG 8.6 +3.50 -2.25/90 6P RX
73390592214,OAS ASTIG 8.6 +3.50 -2.25/160 6P RX
73390592215,OAS ASTIG 8.6 +3.50 -2.25/170 6P RX
73390592216,OAS ASTIG 8.6 +3.50 -2.25/180 6P RX
73390592217,OAS ASTIG 8.6 +3.75 -2.25/10 6P RX
73390592218,OAS ASTIG 8.6 +3.75 -2.25/20 6P RX
73390592219,OAS ASTIG 8.6 +3.75 -2.25/90 6P RX
73390592220,OAS ASTIG 8.6 +3.75 -2.25/160 6P RX
73390592221,OAS ASTIG 8.6 +3.75 -2.25/170 6P RX
73390592222,OAS ASTIG 8.6 +3.75 -2.25/180 6P RX
73390592223,OAS ASTIG 8.6 +4.00 -2.25/10 6P RX
73390592224,OAS ASTIG 8.6 +4.00 -2.25/20 6P RX
73390592225,OAS ASTIG 8.6 +4.00 -2.25/90 6P RX
73390592226,OAS ASTIG 8.6 +4.00 -2.25/160 6P RX
73390592227,OAS ASTIG 8.6 +4.00 -2.25/170 6P RX
73390592228,OAS ASTIG 8.6 +4.00 -2.25/180 6P RX
73390592229,OAS ASTIG 8.6 +4.25 -2.25/10 6P RX
73390592230,OAS ASTIG 8.6 +4.25 -2.25/20 6P RX
73390592231,OAS ASTIG 8.6 +4.25 -2.25/90 6P RX
73390592232,OAS ASTIG 8.6 +4.25 -2.25/160 6P RX
73390592233,OAS ASTIG 8.6 +4.25 -2.25/170 6P RX
73390592234,OAS ASTIG 8.6 +4.25 -2.25/180 6P RX
73390592235,OAS ASTIG 8.6 +4.50 -2.25/10 6P RX
73390592236,OAS ASTIG 8.6 +4.50 -2.25/20 6P RX
73390592237,OAS ASTIG 8.6 +4.50 -2.25/90 6P RX
73390592238,OAS ASTIG 8.6 +4.50 -2.25/160 6P RX
73390592239,OAS ASTIG 8.6 +4.50 -2.25/170 6P RX
73390592240,OAS ASTIG 8.6 +4.50 -2.25/180 6P RX
73390592241,OAS ASTIG 8.6 +4.75 -2.25/10 6P RX
73390592242,OAS ASTIG 8.6 +4.75 -2.25/20 6P RX
73390592243,OAS ASTIG 8.6 +4.75 -2.25/90 6P RX
73390592244,OAS ASTIG 8.6 +4.75 -2.25/160 6P RX
73390592245,OAS ASTIG 8.6 +4.75 -2.25/170 6P RX
73390592246,OAS ASTIG 8.6 +4.75 -2.25/180 6P RX
73390592247,OAS ASTIG 8.6 +5.00 -2.25/10 6P RX
73390592248,OAS ASTIG 8.6 +5.00 -2.25/20 6P RX
73390592249,OAS ASTIG 8.6 +5.00 -2.25/90 6P RX
73390592250,OAS ASTIG 8.6 +5.00 -2.25/160 6P RX
73390592251,OAS ASTIG 8.6 +5.00 -2.25/170 6P RX
73390592252,OAS ASTIG 8.6 +5.00 -2.25/180 6P RX
73390592253,OAS ASTIG 8.6 +5.25 -2.25/10 6P RX
73390592254,OAS ASTIG 8.6 +5.25 -2.25/20 6P RX
73390592255,OAS ASTIG 8.6 +5.25 -2.25/90 6P RX
73390592256,OAS ASTIG 8.6 +5.25 -2.25/160 6P RX
73390592257,OAS ASTIG 8.6 +5.25 -2.25/170 6P RX
73390592258,OAS ASTIG 8.6 +5.25 -2.25/180 6P RX
73390592259,OAS ASTIG 8.6 +5.50 -2.25/10 6P RX
73390592260,OAS ASTIG 8.6 +5.50 -2.25/20 6P RX
73390592261,OAS ASTIG 8.6 +5.50 -2.25/90 6P RX
73390592262,OAS ASTIG 8.6 +5.50 -2.25/160 6P RX
73390592263,OAS ASTIG 8.6 +5.50 -2.25/170 6P RX
73390592264,OAS ASTIG 8.6 +5.50 -2.25/180 6P RX
73390592265,OAS ASTIG 8.6 +5.75 -2.25/10 6P RX
73390592266,OAS ASTIG 8.6 +5.75 -2.25/20 6P RX
73390592267,OAS ASTIG 8.6 +5.75 -2.25/90 6P RX
73390592268,OAS ASTIG 8.6 +5.75 -2.25/160 6P RX
73390592269,OAS ASTIG 8.6 +5.75 -2.25/170 6P RX
73390592270,OAS ASTIG 8.6 +5.75 -2.25/180 6P RX
73390592271,OAS ASTIG 8.6 +6.00 -2.25/10 6P RX
73390592272,OAS ASTIG 8.6 +6.00 -2.25/20 6P RX
73390592273,OAS ASTIG 8.6 +6.00 -2.25/90 6P RX
73390592274,OAS ASTIG 8.6 +6.00 -2.25/160 6P RX
73390592275,OAS ASTIG 8.6 +6.00 -2.25/170 6P RX
73390592276,OAS ASTIG 8.6 +6.00 -2.25/180 6P RX
73390592280,1-DAY TRUEYE 8.5 -0.50 90P RX
73390592281,1-DAY TRUEYE 8.5 -0.75 90P RX
73390592282,1-DAY TRUEYE 8.5 -1.00 90P RX
73390592283,1-DAY TRUEYE 8.5 -1.25 90P RX
73390592284,1-DAY TRUEYE 8.5 -1.50 90P RX
73390592285,1-DAY TRUEYE 8.5 -1.75 90P RX
73390592286,1-DAY TRUEYE 8.5 -2.00 90P RX
73390592287,1-DAY TRUEYE 8.5 -2.25 90P RX
73390592288,1-DAY TRUEYE 8.5 -2.50 90P RX
73390592289,1-DAY TRUEYE 8.5 -2.75 90P RX
73390592290,1-DAY TRUEYE 8.5 -3.00 90P RX
73390592291,1-DAY TRUEYE 8.5 -3.25 90P RX
73390592292,1-DAY TRUEYE 8.5 -3.50 90P RX
73390592293,1-DAY TRUEYE 8.5 -3.75 90P RX
73390592294,1-DAY TRUEYE 8.5 -4.00 90P RX
73390592295,1-DAY TRUEYE 8.5 -4.25 90P RX
73390592296,1-DAY TRUEYE 8.5 -4.50 90P RX
73390592297,1-DAY TRUEYE 8.5 -4.75 90P RX
73390592298,1-DAY TRUEYE 8.5 -5.00 90P RX
73390592299,1-DAY TRUEYE 8.5 -5.25 90P RX
73390592300,1-DAY TRUEYE 8.5 -5.50 90P RX
73390592301,1-DAY TRUEYE 8.5 -5.75 90P RX
73390592302,1-DAY TRUEYE 8.5 -6.00 90P RX
73390592303,1-DAY TRUEYE 8.5 -9.00 90P RX
73390592304,1-DAY TRUEYE 8.5 -8.50 90P RX
73390592305,1-DAY TRUEYE 8.5 -8.00 90P RX
73390592306,1-DAY TRUEYE 8.5 -7.50 90P RX
73390592307,1-DAY TRUEYE 8.5 -7.00 90P RX
73390592308,1-DAY TRUEYE 8.5 -6.50 90P RX
73390592309,1-DAY TRUEYE 8.5 -9.50 90P RX
73390592310,1-DAY TRUEYE 8.5 -10.00 90P RX
73390592311,1-DAY TRUEYE 8.5 -10.50 90P RX
73390592312,1-DAY TRUEYE 8.5 -11.00 90P RX
73390592313,1-DAY TRUEYE 8.5 -11.50 90P RX
73390592314,1-DAY TRUEYE 8.5 -12.00 90P RX
73390592315,1-DAY TRUEYE 8.5 +0.50 90P RX
73390592316,1-DAY TRUEYE 8.5 +0.75 90P RX
73390592317,1-DAY TRUEYE 8.5 +1.00 90P RX
73390592318,1-DAY TRUEYE 8.5 +1.25 90P RX
73390592319,1-DAY TRUEYE 8.5 +1.50 90P RX
73390592320,1-DAY TRUEYE 8.5 +1.75 90P RX
73390592321,1-DAY TRUEYE 8.5 +2.00 90P RX
73390592322,1-DAY TRUEYE 8.5 +2.25 90P RX
73390592323,1-DAY TRUEYE 8.5 +2.50 90P RX
73390592324,1-DAY TRUEYE 8.5 +2.75 90P RX
73390592325,1-DAY TRUEYE 8.5 +3.00 90P RX
73390592326,1-DAY TRUEYE 8.5 +3.25 90P RX
73390592327,1-DAY TRUEYE 8.5 +3.50 90P RX
73390592328,1-DAY TRUEYE 8.5 +3.75 90P RX
73390592329,1-DAY TRUEYE 8.5 +4.00 90P RX
73390592330,1-DAY TRUEYE 8.5 +4.25 90P RX
73390592331,1-DAY TRUEYE 8.5 +4.50 90P RX
73390592332,1-DAY TRUEYE 8.5 +4.75 90P RX
73390592333,1-DAY TRUEYE 8.5 +5.00 90P RX
73390592334,1-DAY TRUEYE 8.5 +5.25 90P RX
73390592335,1-DAY TRUEYE 8.5 +5.50 90P RX
73390592336,1-DAY TRUEYE 8.5 +5.75 90P RX
73390592337,1-DAY TRUEYE 8.5 +6.00 90P RX
73390592338,1-DAY TRUEYE 9.0 -0.50 90P RX
73390592339,1-DAY TRUEYE 9.0 -0.75 90P RX
73390592340,1-DAY TRUEYE 9.0 -1.00 90P RX
73390592341,1-DAY TRUEYE 9.0 -1.25 90P RX
73390592342,1-DAY TRUEYE 9.0 -1.50 90P RX
73390592343,1-DAY TRUEYE 9.0 -1.75 90P RX
73390592344,1-DAY TRUEYE 9.0 -2.00 90P RX
73390592345,1-DAY TRUEYE 9.0 -2.25 90P RX
73390592346,1-DAY TRUEYE 9.0 -2.50 90P RX
73390592347,1-DAY TRUEYE 9.0 -2.75 90P RX
73390592348,1-DAY TRUEYE 9.0 -3.00 90P RX
73390592349,1-DAY TRUEYE 9.0 -3.25 90P RX
73390592350,1-DAY TRUEYE 9.0 -3.50 90P RX
73390592351,1-DAY TRUEYE 9.0 -3.75 90P RX
73390592352,1-DAY TRUEYE 9.0 -4.00 90P RX
73390592353,1-DAY TRUEYE 9.0 -4.25 90P RX
73390592354,1-DAY TRUEYE 9.0 -4.50 90P RX
73390592355,1-DAY TRUEYE 9.0 -4.75 90P RX
73390592356,1-DAY TRUEYE 9.0 -5.00 90P RX
73390592357,1-DAY TRUEYE 9.0 -5.25 90P RX
73390592358,1-DAY TRUEYE 9.0 -5.50 90P RX
73390592359,1-DAY TRUEYE 9.0 -5.75 90P RX
73390592360,1-DAY TRUEYE 9.0 -6.00 90P RX
73390592361,1-DAY TRUEYE 9.0 -9.00 90P RX
73390592362,1-DAY TRUEYE 9.0 -8.50 90P RX
73390592363,1-DAY TRUEYE 9.0 -8.00 90P RX
73390592364,1-DAY TRUEYE 9.0 -7.50 90P RX
73390592365,1-DAY TRUEYE 9.0 -7.00 90P RX
73390592366,1-DAY TRUEYE 9.0 -6.50 90P RX
73390592367,1-DAY TRUEYE 9.0 -9.50 90P RX
73390592368,1-DAY TRUEYE 9.0 -10.00 90P RX
73390592369,1-DAY TRUEYE 9.0 -10.50 90P RX
73390592370,1-DAY TRUEYE 9.0 -11.00 90P RX
73390592371,1-DAY TRUEYE 9.0 -11.50 90P RX
73390592372,1-DAY TRUEYE 9.0 -12.00 90P RX
73390592373,1-DAY TRUEYE 9.0 +0.50 90P RX
73390592374,1-DAY TRUEYE 9.0 +0.75 90P RX
73390592375,1-DAY TRUEYE 9.0 +1.00 90P RX
73390592376,1-DAY TRUEYE 9.0 +1.25 90P RX
73390592377,1-DAY TRUEYE 9.0 +1.50 90P RX
73390592378,1-DAY TRUEYE 9.0 +1.75 90P RX
73390592379,1-DAY TRUEYE 9.0 +2.00 90P RX
73390592380,1-DAY TRUEYE 9.0 +2.25 90P RX
73390592381,1-DAY TRUEYE 9.0 +2.50 90P RX
73390592382,1-DAY TRUEYE 9.0 +2.75 90P RX
73390592383,1-DAY TRUEYE 9.0 +3.00 90P RX
73390592384,1-DAY TRUEYE 9.0 +3.25 90P RX
73390592385,1-DAY TRUEYE 9.0 +3.50 90P RX
73390592386,1-DAY TRUEYE 9.0 +3.75 90P RX
73390592387,1-DAY TRUEYE 9.0 +4.00 90P RX
73390592388,1-DAY TRUEYE 9.0 +4.25 90P RX
73390592389,1-DAY TRUEYE 9.0 +4.50 90P RX
73390592390,1-DAY TRUEYE 9.0 +4.75 90P RX
73390592391,1-DAY TRUEYE 9.0 +5.00 90P RX
73390592392,1-DAY TRUEYE 9.0 +5.25 90P RX
73390592393,1-DAY TRUEYE 9.0 +5.50 90P RX
73390592394,1-DAY TRUEYE 9.0 +5.75 90P RX
73390592395,1-DAY TRUEYE 9.0 +6.00 90P RX
73390595806,OAS ASTIG 8.6 -6.50 -0.75/10 12P RX
73390595807,OAS ASTIG 8.6 -6.50 -0.75/20 12P RX
73390595808,OAS ASTIG 8.6 -6.50 -0.75/30 12P RX
73390595809,OAS ASTIG 8.6 -6.50 -0.75/40 12P RX
73390595810,OAS ASTIG 8.6 -6.50 -0.75/50 12P RX
73390595811,OAS ASTIG 8.6 -6.50 -0.75/60 12P RX
73390595812,OAS ASTIG 8.6 -6.50 -0.75/70 12P RX
73390595813,OAS ASTIG 8.6 -6.50 -0.75/80 12P RX
73390595814,OAS ASTIG 8.6 -6.50 -0.75/90 12P RX
73390595815,OAS ASTIG 8.6 -6.50 -0.75/100 12P RX
73390595816,OAS ASTIG 8.6 -6.50 -0.75/110 12P RX
73390595817,OAS ASTIG 8.6 -6.50 -0.75/120 12P RX
73390595818,OAS ASTIG 8.6 -6.50 -0.75/130 12P RX
