01085B2D4DC0000000000901,1D ACU VT 8.5 +2.75 90P R
01085B2D4DE0000000000901,1D ACU VT 8.5 +3.00 90P R
01085B2D4DF0000000000901,1D ACU VT 8.5 +3.25 90P R
01085B2D4DG0000000000901,1D ACU VT 8.5 +3.50 90P R
01085B2D4DH0000000000901,1D ACU VT 8.5 +3.75 90P R
01085B2D4DJ0000000000901,1D ACU VT 8.5 +4.00 90P R
01085B2D4DK0000000000901,1D ACU VT 8.5 +4.25 90P R
01085B2D4DL0000000000901,1D ACU VT 8.5 +4.50 90P R
01085B2D4DM0000000000901,1D ACU VT 8.5 +4.75 90P R
01085B2D4DN0000000000901,1D ACU VT 8.5 +5.00 90P R
01085B2D4DP0000000000901,1D ACU VT 8.5 +5.25 90P R
01085B2D4DQ0000000000901,1D ACU VT 8.5 +5.50 90P R
01085B2D4DR0000000000901,1D ACU VT 8.5 +5.75 90P R
01085B2D4DS0000000000901,1D ACU VT 8.5 +6.00 90P R
01085B7D4AS0000000000901,1D ACU VT 9.0 -12.00 90P R
01085B7D4AT0000000000901,1D ACU VT 9.0 -11.50 90P R
01085B7D4AU0000000000901,1D ACU VT 9.0 -11.00 90P R
01085B7D4AV0000000000901,1D ACU VT 9.0 -10.50 90P R
01085B7D4AW0000000000901,1D ACU VT 9.0 -10.00 90P R
01085B7D4AZ0000000000901,1D ACU VT 9.0 -9.50 90P R
01085B7D4BC0000000000901,1D ACU VT 9.0 -9.00 90P R
01085B7D4BE0000000000901,1D ACU VT 9.0 -8.50 90P R
01085B7D4BG0000000000901,1D ACU VT 9.0 -8.00 90P R
01085B7D4BJ0000000000901,1D ACU VT 9.0 -7.50 90P R
01085B7D4BL0000000000901,1D ACU VT 9.0 -7.00 90P R
01085B7D4BN0000000000901,1D ACU VT 9.0 -6.50 90P R
01085B7D4BQ0000000000901,1D ACU VT 9.0 -6.00 90P R
01085B7D4BR0000000000901,1D ACU VT 9.0 -5.75 90P R
01085B7D4BS0000000000901,1D ACU VT 9.0 -5.50 90P R
01085B7D4BT0000000000901,1D ACU VT 9.0 -5.25 90P R
01085B7D4BU0000000000901,1D ACU VT 9.0 -5.00 90P R
01085B7D4BV0000000000901,1D ACU VT 9.0 -4.75 90P R
01085B7D4BW0000000000901,1D ACU VT 9.0 -4.50 90P R
01085B7D4BX0000000000901,1D ACU VT 9.0 -4.25 90P R
01085B7D4BY0000000000901,1D ACU VT 9.0 -4.00 90P R
